"first_seen","status","company","role","source","tier","notes","url"
"2026-08-17","applied","Waabi","Senior / Staff Graphics Software Engineer, Sensor Simulation","seg1","2","OK; Toronto ON / San Francisco CA / remote US and Canada, hybrid; undated; USD 155,000-269,000 US range, Canada range not separately given; real-time plus neural rendering and Gaussian splatting for AV sensor simulation; hard gate is 3+ yrs shipping real-time rendering against a native GPU API in C++ or Rust; use the Web Tools req as the Waabi door instead; distinct role from Research Engineer Neural Rendering despite the similar Built In slug; level over","https://jobs.lever.co/waabi/562aa158-f9c9-4ca4-bfaa-50a62d7e498c"
"2026-08-17","skipped","Lightspeed Commerce","Senior Software Developer (Node/React/iOS)","seg4","2","OK; you should be located in Canada, fully remote partially remote or fully office-based; undated; comp not stated; native iOS half (Objective-C/Swift/Xcode) and React half both match; screening filter is 6+ yrs Node.js/Java backend plus Kubernetes and Docker, failed on its face; long shot; level right","https://job-boards.greenhouse.io/lightspeedhq/jobs/7230067"
"2026-08-17","skipped","Waabi","Research Engineer, Neural Rendering","seg3","3","OK; Toronto ON CAN, remote or hybrid; posted ~Aug 14; CAD 171,000-270,000; multi-sensor rendering mixing real-time rendering with NeRF and 3D Gaussian Splatting, but requires deep ML research background - PyTorch, diffusion models, NeRF internals - plus native C++/Rust; ML research depth absent entirely; distinct role from Sensor Simulation despite the slug","https://builtintoronto.com/job/research-engineer-sensor-simulation/7518596"
"2026-08-17","skipped","Figma","Software Engineer, Graphics & Media","seg3","3","RELOCATE US hubs or US-remote, no city named, US; requires US work authorization or residency, no non-US eligibility or sponsorship stated; posted ~Aug 12; USD 153,000-376,000; video/image rendering and playback in a C++/WebAssembly engine is a near-direct domain match but resume lists C not C++; best-paid near-match in the pass and it dies on two hard gates at once","https://builtin.com/job/software-engineer-rendering-animation/6345576"
"2026-08-17","skipped","Mux","Software Engineer - Distributed Systems (Mid-Staff Level)","seg2","3","RELOCATE San Francisco CA US; or US Remote, no Canadian eligibility stated; undated; USD 188,000-240,000; video transcoding and encoding pipeline domain matches but the bar is 4+ yrs production Golang/C/C++ distributed systems","https://job-boards.greenhouse.io/mux/jobs/7431906002"
"2026-08-17","skipped","CBC/Radio-Canada","iOS Senior Developer, OTT Team (French Services)","seg4","3","RELOCATE Montreal QC Canada; telework/hybrid; posted ~1 week ago, no exact date given; comp not stated; near-exact match to the 360 playback, FFmpeg encoding and OMAF streaming work, dies only on English-French bilingualism stated mandatory; URL is a Remotive mirror corroborated across Eluta and Glassdoor","https://remotive.com/remote/jobs/software-development/ios-senior-developer-4265144"
"2026-08-17","skipped","Spiria","Senior Front-End Developer – Angular","seg3","3","OK; Toronto ON CAN hybrid, flexible remote/hybrid/in-person; posted ~Aug 11; CAD 95,000-120,000; reusable UI and visualization libraries plus real-time rendering strategies echo the heat-map work, but the role is Angular-specific and the resume shows React/Vite/Webpack; band well below market for 21 years","https://builtintoronto.com/job/senior-front-end-developer-angular/10215727"
"2026-08-17","skipped","Gardens Interactive","Lead Game Engineer","li1t","3","OK; Toronto ON (Remote); posted ~Aug 10; 198,000-219,000 per year; game engine lead role, no Unity, Unreal or C++ on resume","https://www.linkedin.com/jobs/view/4448881464/"
"2026-08-17","applied","Snap Inc.","Software Engineer, C++, Level 5 (Fixed Term)","li1t","3","OK; Toronto ON (On-site); posted ~Aug 11; 173,000-259,000; C++ named in the title","https://www.linkedin.com/jobs/view/4434430604/"
"2026-08-17","skipped","Zynga","Principal Software Developer - Full Stack (Unity, C#)","li1t","3","OK; Toronto ON (On-site); reposted ~Aug 10; no comp shown; Unity and C# throughout","https://www.linkedin.com/jobs/view/4440824044/"
"2026-08-17","skipped","People Can Fly Studio","Lead Level Artist","li1r","3","OK; Canada; reposted ~Aug 17; no comp shown; title as posted ends '- Remote', stripped for the dedupe key; art role, not engineering","https://www.linkedin.com/jobs/view/4444456871"
"2026-08-17","skipped","Loblaw Digital","iOS Developer II","seg4","3","OK; from our office in Downtown Toronto, return-to-office policy is 4 days in the office; undated; comp not stated; mid-level req against 21 years; team is also moving to a Kotlin/Spring Boot BFF with no counterpart on the resume","https://careers.loblaw.ca/ios-developer-ii/job/PAF-LCL-33863E47-7E79-424A-AE69-3B8AE4171F9A_7580_1741884089_0"
"2026-08-17","skipped","Lightspeed Commerce","Software Developer II - iOS","seg4","3","RELOCATE Montreal QC Canada; in-office with one of our squads in our Montreal office, no remote option stated; undated; comp not stated; mid-level req, and the Objective-C-to-Swift POS migration match does not outweigh level plus relocation","https://job-boards.greenhouse.io/lightspeedhq/jobs/6922186"
"2026-09-17","applied","Autodesk","Senior Software Developer, Viewer Platform","seg1","1","RELOCATE STALE; Montreal QC Canada; domestic move from Toronto so no work authorization question, and the posting states nothing either way about relocation support; undated on the posting, roughly 4 months old per the Dreamwork aggregator (about May 2026); comp not stated; same Viewer Platform team as the Principal req already in this ledger; stack listed is JS/TS, React, WebGL/WebGPU, which is the closest published stack match in the pass; level right; gap: Node.js/C# backend and MobX state management","https://autodesk.wd1.myworkdayjobs.com/Ext/job/Montreal-QC-CAN/Senior-Software-Developer--Viewer-Platform_26WD97486"
"2026-09-17","skipped","Unity","Graphics Developer XR (Développeur(se) graphique XR)","seg1","3","RELOCATE UNVERIFIED; Montreal QC Canada; C++ engine graphics, no relocation; posting states no relocation support and no visa sponsorship, and sponsorship is moot for a domestic move so the relocation cost is the whole question; undated; comp not stated; UNVERIFIED because the listing redirected to Unity general careers and was corroborated through a talent.com mirror rather than opened; WebXR and Quest history is the hook but the work is engine-side; gap: C++ and native GPU APIs (DirectX/Vulkan/Metal)","https://unity.com/careers/positions/7380568"
"2026-09-17","skipped","Rockstar Games","Animation Tools Programmer (All Levels)","seg1","3","OK UNVERIFIED; Oakville ON CAN; C++, C#, Maya pipeline required; UNVERIFIED restored because the row is sourced from a Built In copy and Rockstar own careers board was not checked for this req; reposted 22 days ago (about Aug 26 2026); CAD 85,000-120,000; posting states it is for an existing vacancy; named target studio and the tooling territory is right; gap: C++/C# and MotionBuilder/Maya pipeline experience","https://builtin.com/job/animation-tools-programmer-all-levels/10173309"
"2026-09-17","skipped","Evertz Microsystems","Senior Software Engineer, Cloud Backend","seg2","3","OK; Burlington Ontario; AWS serverless backend, not frontend; undated; CAD 100,000 to 135,000; posting explicitly waives broadcast domain experience and the UI half is Angular/TypeScript/NgRx, but the core requirement is 5+ years production backend and distributed systems in Python/Java/Go on AWS serverless, with video knowledge listed as additional; gap: no cloud or distributed-systems backend evidence","https://evertz.com/contact/careers/job_20260715174549_0PHKP0HIZPAD0DR7"
"2026-09-17","skipped","Evertz Microsystems","Software Engineer","seg2","3","OK; Burlington ON Canada; C/C++ systems, junior pay band; undated; CAD 50,000 to 90,000; recommended skills are the codec and pipeline territory (H.264/H.265, colour space and HDR-SDR, containers, SRT/RIST) but the required skills are C/C++, Linux and sockets/TCP/UDP/RTP, and the band reads junior against two decades; gap: C/C++ and systems-level networking","https://evertz.com/contact/careers/job_20260522181130_GFQUSU009UVBOJBX"
"2026-09-17","skipped","LiveKit","Backend Engineer, Real-Time Media","seg2","3","OK; Remote, North America / APJ / EMEA; Go systems, WebRTC transport internals; undated; USD 135,000-300,000 plus equity; owns real-time media distribution end to end on a WebRTC platform, the closest domain match in the segment, but wants a strong systems programmer in Go, Rust, C/C++, Java or C# who knows ICE, DTLS-SRTP and RTP/RTCP from the inside; gap: no transport-layer systems programming","https://jobs.ashbyhq.com/livekit/c4a4b4ac-ee45-4eda-800a-6dfb5a573e6e"
"2026-09-17","skipped","Evertz Microsystems","Embedded Software Engineer","seg2","3","OK; Markham ON Canada; embedded C/C++ firmware, different discipline; undated; CAD 75,000-85,000 entry and 85,000-120,000 experienced; builds software for video routing and IP switching products and names GPU-accelerated rendering (OpenGL ES, Vulkan) as a bonus, but the core work is embedded Linux firmware with board-level hardware integration; gap: C/C++ and embedded Linux","https://evertz.com/contact/careers/job_20260625150224_3GMY3LA3FAPB7BON"
"2026-09-17","applied","NearSource","Senior Frontend Engineer - React & 3D","seg3","1","OK; 100% Remote, Canada; staffing-agency posting for an undisclosed client described only as a Fortune 500 product company, and a T4 contract rather than permanent, roughly CAD 117,000-137,000 annualized; posted 21 days ago; CAD 60-70 per hour; collaborative multi-user 3D web experiences with WebSocket real-time communication for XR workflows, the closest match in the pass to the Colyseus shared-session and WebXR work; level right; dedupe warning: if the real employer is identified later its own posting will not match this row on company name; gap: production React","https://www.careerbeacon.com/en/job-9/3674649/nearsource/senior-frontend-developer-react-3d/toronto-on"
"2026-09-17","skipped","Motion Recruitment","Senior Front End Engineer / React / Three.js","seg3","1","OK; Toronto, ON / Hybrid; staffing-agency posting for an undisclosed client described as a well established construction technology company, direct hire rather than contract; undated, listing says current vacancy yes; CAD 160,000-180,000, the best-paid OK row in the pass; 50% React and 30% Three.js building 3D web interfaces; level right; dedupe warning: if the real employer is identified later its own posting will not match this row on company name; gap: production React","https://motionrecruitment.com/tech-jobs/toronto/direct-hire/senior-front-end-engineer-react-threedot-js/882946"
"2026-09-17","skipped","Geotab","Software Developer (Video Frontend)","seg3","2","OK; Oakville, Ontario - Canada; Toronto, Ontario - Canada; Waterloo, Ontario; undated; CAD 85,500-105,600; 70% frontend and 30% backend in React/TypeScript owning video frontend development inside a Video Group, which tracks onto the FFmpeg/Vimeo/WebRTC pipeline work; written at 2+ years so level over, and the band tops out below senior Toronto market; worth asking a recruiter whether a senior slot exists on the same team; gap: role posted a level below, not a technical gap","https://careers.geotab.com/jobs/description/5247680008/"
"2026-09-17","skipped","Kinaxis","Senior Software Developer, Front End Technology","seg3","2","OK; Our office in Ottawa, Canada - Hybrid; undated; CAD 105,000-155,000 plus 10% bonus; React/TypeScript visualization layer of a supply-chain platform on the GoJS graph library, node and graph rendering that echoes the Blockly visual-scripting work; hybrid in Ottawa is a move or a commute from Toronto even though the row is tokened OK; level right; gap: purely 2D enterprise data-viz, no 3D, WebGL or media dimension","https://careers-kinaxis.icims.com/jobs/34287/senior-software-developer%2C-front-end-technology/job"
"2026-09-17","skipped","Esri Canada","GIS Developer, Assessment","seg3","2","OK; This role is fully remote within Canada; undated; CAD 86,900-111,900; smart 3D apps on the ArcGIS JavaScript SDK with a modern TypeScript/Angular stack; named in the positioning file as one of two mapping employers worth tailoring for, so this is the Esri door; reads more data-model heavy than rendering heavy and the flat title and band sit below senior market, level under; gap: no GIS or mapping domain and no Esri certification","https://careers.esri.ca/job/GIS-Developer%2C-Assessment/567-en_US/"
"2026-09-17","skipped","REDspace","iOS Developer (Contract role)","seg4","1","OK STALE; Canada (Remote); posted 2026-07-29, about seven weeks live, so confirm it is still open before spending the hour; CAD 70-90 per hour, roughly CAD 136,000-176,000 annualized; about a four-month contract with potential to extend, not permanent; tvOS, AVFoundation/AVPlayer and HLS streaming app work for a consultancy whose clients include Apple, Paramount and Sony Pictures Television, mirroring the Liquid Cinema tvOS/iOS/FFmpeg specialty; level right; gap: AVFoundation named explicitly, resume evidences FFmpeg and OMAF instead","https://apply.workable.com/redspace/jobs/view/43B2564ABE"
"2026-09-17","skipped","Apple","iOS Software Engineer, Customer Systems","seg4","2","OK; Ontario, Canada and Sunnyvale, CA, USA; posted Sep 02 2026; USD 150,400-277,600, the widest band in the pass; senior native development across iOS, tvOS and visionOS with hands-on AVFoundation expected, the same multi-platform Apple surface shipped since 2015; builds the Support app rather than a media product so the video background is secondary; Canadian Apple engineering reqs are rare and team-specific; level right; gap: AVFoundation, SwiftUI and visionOS","https://jobs.apple.com/en-us/details/200681110-3956/ios-software-engineer-customer-systems?team=SFTWR"
"2026-09-17","skipped","Rogers Sports & Media","Manager Mobile App Development, Sportsnet","seg4","2","OK UNVERIFIED; 1 Mount Pleasant (083), Toronto, ON; UNVERIFIED restored because the req could not be found on jobs.rogers.com and the text was read on the Pride at Work Canada partner board; undated; comp not stated; leads the iOS and Android team behind Sportsnet live-sports streaming and real-time data, the video domain itself, and draws on the Liquid Cinema mentoring and cross-team work; people-management rather than a hands-on IC seat; level right on technical scope, under on formal people-management; gap: no formal line-management history","https://prideatwork.ca/?p=4460241"
"2026-09-17","skipped","BIMM","Lead Mobile Developer","li4t li4r","2","OK; Toronto, ON (Remote), remote candidates across Canada must work EST hours; posted 1 day ago, the freshest row in the pass; CAD 140,000-160,000; native iOS and Android lead on a companion app with Hotwire Native web-view integration for a media and ticketing client, read from the posting opened in li4r and again in li3t; agency employer, which is a portfolio-hiring cluster; also appeared unopened in li1r and li3t coverage prose, not counted as sources; level right; gap: no Android or Kotlin anywhere on the resume","https://www.linkedin.com/jobs/view/4468241811/"
"2026-09-17","skipped","The Globe and Mail","Senior iOS Developer (Digital)","li4t","2","OK; Toronto, ON (Hybrid); posted 6 days ago; comp not named; title as posted ends - Hybrid, stripped for the dedupe key; captured from the LinkedIn card alone and never opened, so treat the description as unread; senior native iOS at a media employer in Toronto, which is the domain hook; verify whether the role touches video playback or is purely news-app feature work before applying; level right; gap: unread, expect SwiftUI and current Swift concurrency screening","https://www.linkedin.com/jobs/view/4463949481/"
"2026-09-17","skipped","Mozilla","Senior Mobile Engineer, iOS","li4t li4r","2","OK; Toronto, ON (Remote); reposted about 2 weeks ago; CAD 108,000-125,000; MZLA/Thunderbird iOS; li4t captured this from the card and li4r opened the posting directly, so the description is read and no unread flag applies; li4r recorded the company as Mozilla (MZLA/Thunderbird), merged here on the identical LinkedIn job id and title; senior native iOS remote from Toronto at a known employer, but no media, video or graphics dimension and the band is modest against two decades; level right; gap: SwiftUI and current Swift concurrency","https://www.linkedin.com/jobs/view/4452758462/"
